,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
237,2116479,0.63,True,Westerpark,52.38,4.867,Entire home/apt,2,1,1,3,125.0,3,10,True,0,0,4,True,62.5,375.0,0.06,0.14,0.15,4.99,0.0,625.0
238,2116719,0.31,True,Oud-Noord,52.4,4.93,Entire home/apt,4,2,4,10,205.0,2,3,True,0,0,4,True,51.25,410.0,0.11,0.21,0.27,4.99,0.0,1096.6986301369864
239,2144304,0.8,True,Zuid,52.34,4.88,Entire home/apt,6,3,4,17,466.0,3,1125,True,0,0,4,True,77.7,1398.0,0.03,0.25,0.22,10.99,0.019178082191780823,2330.0
240,2144308,0.86,True,Noord-West,52.4,4.918,Entire home/apt,2,1,1,8,90.0,3,1125,True,0,0,4,True,45.0,270.0,0.06,0.13,0.16,4.99,0.0,451.64383561643837
241,2224903,0.67,True,Oud-Oost,52.34,4.914,Entire home/apt,4,2,4,9,225.0,3,3,True,0,1,4,True,56.25,675.0,0.08,0.14,0.25,4.99,0.4794520547945205,1105.4109589041095
242,2235708,0.68,True,De Pijp - Rivierenbuurt,52.34,4.9,Entire home/apt,2,1,1,4,139.0,6,1124,True,0,0,4,True,69.5,834.0,0.07,0.12,0.21,4.99,0.024657534246575342,886.7808219178082
243,2255109,0.91,True,Oostelijk Havengebied - Indische Buurt,52.38,4.945,Entire home/apt,4,2,5,6,231.0,3,1125,True,0,0,4,True,57.75,693.0,0.11,0.27,0.23,4.99,0.01643835616438356,1180.5479452054794
244,2344785,1.0,True,De Baarsjes - Oud-West,52.38,4.88,Private room,4,1,2,7,240.0,3,1001,True,2,4,4,True,60.0,720.0,0.08,0.12,0.22,4.99,0.3698630136986301,1075.7808219178082
245,2368869,0.6,True,Centrum-West,52.38,4.887,Entire home/apt,4,2,2,4,250.0,3,30,True,0,0,4,True,62.5,750.0,0.11,0.26,0.25,4.99,0.010958904109589041,1311.6438356164383
246,2376883,0.0,True,Centrum-West,52.38,4.883,Private room,2,1,2,11,179.0,3,7,True,0,0,5,True,89.5,537.0,0.07,0.19,0.16,4.99,0.3041095890410959,906.3698630136986
